1/1/2021;PRD001;MKT001;Fragrance;Aurelian;Core;WE;1;3;1454;0;1.00;High;12250;19533;1;950;504;0.6534;1418;Normal
1/1/2021;PRD001;MKT002;Fragrance;Aurelian;Core;WE;1;5;1592;0;1.00;High;12250;19533;1;1128;464;0.7085;1172;Normal
1/1/2021;PRD001;MKT003;Fragrance;Aurelian;Core;WE;2;4;1536;0;1.00;High;12250;19533;1;1086;450;0.7070;1227;Normal
1/1/2021;PRD001;MKT004;Fragrance;Aurelian;Core;NA;2;4;1200;0;1.00;Medium;12250;19533;1;946;254;0.7883;1095;Normal
1/1/2021;PRD001;MKT005;Fragrance;Aurelian;Core;NA;3;2;843;0;1.00;High;12250;19533;1;720;123;0.8541;809;Normal
1/1/2021;PRD001;MKT006;Fragrance;Aurelian;Core;LATAM;2;2;777;0;1.00;High;12250;19533;1;650;127;0.8366;1664;High Overstock Risk
1/1/2021;PRD001;MKT007;Fragrance;Aurelian;Core;LATAM;3;1;1819;0;1.00;High;12250;19533;1;1068;751;0.5871;1492;Normal
1/1/2021;PRD001;MKT008;Fragrance;Aurelian;Core;LATAM;4;5;1091;0;1.00;Medium;12250;19533;1;1047;44;0.9597;1454;Normal
1/1/2021;PRD001;MKT009;Fragrance;Aurelian;Core;APAC;4;4;861;0;1.00;Medium;12250;19533;1;861;0;10.000;1455;Normal
1/1/2021;PRD001;MKT010;Fragrance;Aurelian;Core;APAC;3;4;1707;0;1.00;Medium;12250;19533;1;1202;505;0.7042;953;Normal
1/1/2021;PRD001;MKT011;Fragrance;Aurelian;Core;MEA;3;1;2142;0;1.00;High;12250;19533;1;1203;939;0.5616;889;Normal
1/1/2021;PRD001;MKT012;Fragrance;Aurelian;Core;MEA;4;5;1839;0;1.00;Medium;12250;19533;1;1359;480;0.7390;793;Normal
1/1/2021;PRD002;MKT001;Skincare;Aurelian;Core;WE;1;3;933;0;1.00;Medium;15250;15512;0;933;0;10.000;613;Normal
1/1/2021;PRD002;MKT002;Skincare;Aurelian;Core;WE;1;5;1663;0;1.00;Medium;15250;15512;0;1516;147;0.9116;1220;Normal
1/1/2021;PRD002;MKT003;Skincare;Aurelian;Core;WE;2;4;1098;0;1.00;High;15250;15512;0;1098;0;10.000;1050;Normal
1/1/2021;PRD002;MKT004;Skincare;Aurelian;Core;NA;2;4;1349;0;1.00;High;15250;15512;0;1314;35;0.9741;453;Normal
1/1/2021;PRD002;MKT005;Skincare;Aurelian;Core;NA;3;2;1778;1;1.00;High;15250;15512;0;1467;311;0.8251;355;Stockout Risk
1/1/2021;PRD002;MKT006;Skincare;Aurelian;Core;LATAM;2;2;742;0;1.00;Medium;15250;15512;0;742;0;10.000;1700;Normal
1/1/2021;PRD002;MKT007;Skincare;Aurelian;Core;LATAM;3;1;1000;0;1.00;High;15250;15512;0;947;53;0.9470;768;Normal
1/1/2021;PRD002;MKT008;Skincare;Aurelian;Core;LATAM;4;5;902;0;1.00;Low;15250;15512;0;902;0;10.000;1274;Normal
1/1/2021;PRD002;MKT009;Skincare;Aurelian;Core;APAC;4;4;696;0;1.00;Medium;15250;15512;0;696;0;10.000;1051;Normal
